,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,SERIE_ANO,CIÊNCIAS,LÍNGUA PORTUGUESA,MATEMÁTICA,MAT_PT_TOTAL
0,GAVIAO PEIXOTO BRIGADEIRO,35000024,498.0,880.0,19.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1091.0,1175.0,1656.0,610.0,0.0,2,1,MOGEIRO,710,RUA,VILA PERUS,5208230,-23.40471,-46.75938,EM-3ª série,"243,8",257.4,253.3,510.7
1,JOAO SOLIMEO,35000036,842.0,1100.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1068.0,1048.0,1338.0,778.0,0.0,2,1,DO SABAO,1497,ESTRADA,JARDIM MARISTELA,2806000,-23.4694686,-46.6983995,EM-3ª série,"239,2",246.8,248.1,494.9
2,WALFREDO ARANTES CALDAS PROFESSOR,35000048,2.0,809.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,493.0,589.0,687.0,395.0,17.0,2,1,DEPUTADO CANTIDIO SAMPAIO,1701,,VILA SOUZA,2860001,-23.464,-46.67971,EM-3ª série,"258,7",256.4,251.1,507.5
3,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,35000059,5.0,1048.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,586.0,672.0,831.0,427.0,0.0,2,1,RUA FRANCISCO GIRON,SN,ESTRADA,MORRO DOCE,5267000,-23.4383462,-46.7924469,EM-3ª série,"266,3",253.7,253.8,507.5
4,RENATO DE ARRUDA PENTEADO PROFESSOR,35000097,2.0,759.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,559.0,517.0,804.0,272.0,0.0,2,1,FLORIANO DA COSTA BARROSO,10,RUA,JARDIM CAROMBE,2855220,-23.4581327,-46.7022058,EM-3ª série,"255,1",242.3,237.2,479.5
5,MARIANO DE OLIVEIRA PROFESSOR,35000139,319.0,999.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,843.0,909.0,1148.0,604.0,0.0,2,1,RUA ALMIRANTE ISAIAS DE NORONHA,13,RUA,VILA PEREIRA BARRETO,2919100,-23.49153,-46.71565,EM-3ª série,"285,7",280.1,276.6,556.7
6,SILVIO XAVIER ANTUNES PROFESSOR,35000140,154.0,221.0,8.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,204.0,222.0,426.0,0.0,15.0,2,1,JOSE DA SILVA MARTHA,150,RUA,PIQUERI,2913100,-23.5017077,-46.7131588,EM-3ª série,"276,8",277.1,267.1,544.2
7,PIO TELLES PEIXOTO PROFESSOR,35000164,214.0,301.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,336.0,360.0,519.0,177.0,0.0,2,1,ARTUR ORLANDO,985,RUA,VILA JAGUARA,5118000,-23.511597,-46.7487375,EM-3ª série,272,267.2,268.5,535.7
8,ZENAIDE VILALVA DE ARAUJO PROFESSORA,35000176,354.0,353.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,318.0,433.0,751.0,0.0,373.0,2,1,BELO JARDIM,674,RUA,JARDIM MUTINGA,5159200,-23.5006627,-46.7122546,EM-3ª série,286,277.9,272.6,550.5
9,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,35000188,421.0,456.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,448.0,480.0,723.0,205.0,0.0,2,1,MUTINGA,5071,AVENIDA,JARDIM SANTO ELIAS,5110000,-23.5047429,-46.7581958,EM-3ª série,"274,5",271.1,264.7,535.8
