,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,latitude,longitude,total_score
0,1100015,Alta Floresta D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,182.31,191.86,253.04,248.43,266.52,259.69,-11.9283,-61.9953,526.21
1,1100023,Ariquemes,"Total - Federal, Estadual, Municipal e Privada",Total,192.15,203.33,253.51000000000002,254.51000000000002,269.05,264.86,-9.90571,-63.0325,533.9100000000001
2,1100031,Cabixi,"Total - Federal, Estadual, Municipal e Privada",Total,190.63,207.16,248.84,252.95000000000002,257.68,266.02,-13.4945,-60.552,523.7
3,1100049,Cacoal,"Total - Federal, Estadual, Municipal e Privada",Total,201.91,208.55,252.92000000000002,252.48000000000002,270.91,267.95,-11.4343,-61.4562,538.86
4,1100056,Cerejeiras,"Total - Federal, Estadual, Municipal e Privada",Total,204.47,214.69,250.22,251.06,,,-13.187,-60.8168,
5,1100064,Colorado do Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,210.81,214.89000000000001,262.54,266.16,261.58,265.44,-13.1174,-60.5454,527.02
6,1100072,Corumbiara,"Total - Federal, Estadual, Municipal e Privada",Total,193.95000000000002,210.32,247.6,245.35,274.23,270.71,-12.9551,-60.8947,544.94
7,1100080,Costa Marques,"Total - Federal, Estadual, Municipal e Privada",Total,175.85,188.21,248.17000000000002,255.57,274.19,270.05,-12.4367,-64.228,544.24
8,1100098,Espigão D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,198.31,208.16,249.9,253.54,262.64,264.15,-11.5266,-61.0252,526.79
9,1100106,Guajará-Mirim,"Total - Federal, Estadual, Municipal e Privada",Total,185.51,190.55,240.67000000000002,235.63,261.58,253.52,-10.7889,-65.3296,515.1
10,1100114,Jaru,"Total - Federal, Estadual, Municipal e Privada",Total,192.77,204.82,252.20000000000002,248.44,266.52,261.4,-10.4318,-62.4788,527.92
11,1100122,Ji-Paraná,"Total - Federal, Estadual, Municipal e Privada",Total,198.87,206.5,255.56,251.88,273.58,270.74,-10.8777,-61.9322,544.3199999999999
12,1100130,Machadinho D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,173.34,183.48,,,268.32,261.46,-9.44363,-61.9818,529.78
13,1100148,Nova Brasilândia D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,210.39000000000001,219.12,264.23,274.33,,,-11.7247,-62.3127,
14,1100155,Ouro Preto do Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,196.20000000000002,202.86,261.98,261.98,281.04,281.17,-10.7167,-62.2565,562.21
15,1100189,Pimenta Bueno,"Total - Federal, Estadual, Municipal e Privada",Total,201.3,214.46,253.52,258.45,270.93,267.76,-11.672,-61.198,538.69
16,1100205,Porto Velho,"Total - Federal, Estadual, Municipal e Privada",Total,195.62,201.19,245.61,240.02,272.49,262.57,-8.76077,-63.8999,535.06
17,1100254,Presidente Médici,"Total - Federal, Estadual, Municipal e Privada",Total,192.39000000000001,202.93,261.28000000000003,262.75,257,264.18,-11.169,-61.8986,521.1800000000001
18,1100288,Rolim de Moura,"Total - Federal, Estadual, Municipal e Privada",Total,201,209.06,264.57,263.37,280.94,276.26,-11.7271,-61.7714,557.2
19,1100296,Santa Luzia D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,216.22,228.4,254.38,256.24,,,-11.9074,-61.7777,
20,1100304,Vilhena,"Total - Federal, Estadual, Municipal e Privada",Total,203.54,207.67000000000002,262.3,259.26,279.39,272,-12.7502,-60.1488,551.39
21,1100320,São Miguel do Guaporé,"Total - Federal, Estadual, Municipal e Privada",Total,,,251.4,256.03000000000003,,,-11.6953,-62.7192,
22,1100338,Nova Mamoré,"Total - Federal, Estadual, Municipal e Privada",Total,,,240.77,241.36,258.54,255.77,-10.4077,-65.3346,514.3100000000001
23,1100346,Alvorada D'Oeste,"Total - Federal, Estadual, Municipal e Privada",Total,187.92000000000002,196.63,244.62,244.94,,,-11.3463,-62.2847,
24,1100379,Alto Alegre dos Parecis,"Total - Federal, Estadual, Municipal e Privada",Total,181.24,189.35,246.6,249.11,,,-12.132,-61.835,
25,1100403,Alto Paraíso,"Total - Federal, Estadual, Municipal e Privada",Total,171.72,183.28,247,253.25,,,-9.71429,-63.3188,
26,1100452,Buritis,"Total - Federal, Estadual, Municipal e Privada",Total,179.47,191.32,243.98000000000002,247.03,263.17,257.36,-10.1943,-63.8324,520.53
